n1,n2,t1,t2,phi1,phi2,R_mean
1.6118742908011705,1.5896483048681567,4.6625917423336995e-08,1.5052930810299226e-07,0.5465826733068746,1.7402811597010772,0.0530283041856626
1.2618504689015293,2.226666397705373,7.451867780856963e-08,2.7778836429215e-08,0.6838649347975678,0.4498487392311778,0.11026538125146913
1.8200258906199327,2.401672783173269,1.0040607499697577e-07,6.214435712286998e-08,1.3290302259638005,1.0854575354894305,0.14783798743466756
1.542207937932118,1.9081274267243602,1.4151111605910561e-07,1.1405347577597109e-07,1.5871968472144429,1.5827532017554389,0.08253554924352251
1.7551836877913516,2.0229260793692805,1.3022207404300046e-07,3.838460668961117e-08,1.662281164731869,0.5647216139545235,0.09006541554096713
1.1241077839133702,2.148053048598631,5.86287366067553e-08,7.912704568756218e-08,0.4793092304048028,1.2361388488419716,0.17215643671298525
1.676899964000847,1.9070854262272778,3.0714561146514905e-08,1.303648810906663e-07,0.3745836107701284,1.8081233805080852,0.06281537423698651
1.1345960334171588,2.4047525098512823,4.719953036175773e-08,8.861349843447746e-08,0.3894719994734769,1.5497711473964535,0.15223962285437018
1.8398774097788997,2.406980313701082,1.3592140480939602e-07,1.0289640790389773e-07,1.8187543433761513,1.801233659456278,0.1751559661353002
1.5083277847295664,2.0576908362602016,1.2338760928409684e-07,1.2182487951776803e-07,1.3535197045422478,1.823112277907014,0.05835783152734794
1.7705283356508255,2.2829785668983247,1.1250909080877938e-07,8.138367907103252e-08,1.4487311512382235,1.3512523273781745,0.15259872068925312
1.837973485448864,1.6926441872838471,4.695359884764201e-08,1.6004678033276465e-07,0.6276325071154062,1.9701981994454458,0.10458398313437281
1.5425272263912235,1.9833741336339747,1.5563852926426403e-07,1.209470507267305e-07,1.7460121372044688,1.7446054687324615,0.09558626101661603
1.2412784130955214,1.6735723069331527,1.8299129062237206e-07,1.3437816823526506e-07,1.6519501006111954,1.635575134654137,0.04386796741914194
1.2801493501510446,2.341510136243172,1.198781624115248e-07,6.45352557804265e-08,1.1160869215157443,1.098981494944832,0.16502238754704848
1.8885548743745653,2.0192145965820187,3.8804462731708375e-08,5.286036620133851e-08,0.5329771435596655,0.7762648946502801,0.14782779147655437
1.3669456920637602,2.458466937906062,7.532760017138876e-08,5.770127915356674e-08,0.7488635530747725,1.0316849969013244,0.17104860629890067
1.6997084395824729,1.7740963086683905,1.2076119948516174e-07,5.059321622496096e-08,1.4927914904656872,0.6527799138062905,0.05887471648884672
1.2940139806795445,2.486331937380475,9.852347623110714e-08,8.519141243419766e-08,0.9272054957687378,1.540466396550529,0.08215497810889708
1.772050477552346,1.8468523159236847,7.039210933220161e-08,1.2018255369178984e-07,0.907188152422144,1.6142503826858519,0.07586549367518293
1.5856010754070593,1.861751916622798,1.3651672586714864e-07,1.305979830716912e-07,1.5742623079709206,1.768298511205766,0.07584102365124162
1.2880306279660532,1.5243561338975178,8.177746282193367e-08,1.304891611216515e-07,0.7660500130327693,1.4466323866394981,0.007305666052492993
1.832201801301526,2.3630643731951944,5.0858140971743987e-08,1.0460307037891576e-07,0.6776900181765547,1.7977002831945115,0.07498143746963946
1.748585376121686,2.234400950088024,1.1559231575504232e-07,1.0289463488007516e-07,1.4699856939731446,1.6720572358909112,0.12318379275159325
1.789383606844086,2.3191114648414604,3.8969871949101396e-08,9.057506743375295e-08,0.5071421820111652,1.5276631077411262,0.0739959936814012
1.7730433766081495,1.6857060067486693,5.1451181166396397e-08,1.3345869141898625e-07,0.6634558253508734,1.636160856565834,0.08102170723633083
1.3751433600031149,1.8997010050273033,9.410726538477908e-08,4.7902062907541164e-08,0.941170771795854,0.6618152512606331,0.029526939159701344
1.8510354338233395,2.3058599690832318,5.3923071629502524e-08,2.864348994024e-08,0.7259164820858415,0.48034819511300114,0.16633914211637357
1.3980881525575737,1.9153084257248234,3.069032974681193e-08,1.2980771828029734e-07,0.31205662848802207,1.8081586657917648,0.05673395186638964
1.7810271107403124,2.350163287949706,1.289180323179854e-07,9.046953716546106e-08,1.6698655317936564,1.5463140721750406,0.1720899584418837
1.6076165566188776,2.4602892573653614,1.291457636907026e-07,7.664537370094865e-08,1.5099408576462734,1.371416651223255,0.1885290513518738
1.7310600703148555,1.7462663247333126,1.544257611973495e-07,2.6186791444840774e-08,1.9441474111760648,0.33257536038501706,0.06709352490086733
1.6187239763933396,1.57709420043229,1.4870370617746894e-07,1.6957508175536644e-07,1.7506200332219588,1.9449882034488717,0.05590739517972397
1.426888583834005,2.3571646966053628,8.390624584260208e-08,3.3307224434575945e-08,0.8707262858558426,0.5709862805752286,0.0989741667493235
1.3213195146124765,1.8018419643568229,1.4278806276769093e-07,1.261762176344168e-07,1.372135663917536,1.6534516642728112,0.035885145625828785
1.2641732379176525,1.588206262754353,7.361421321020305e-08,6.961672333233251e-08,0.6768081328778386,0.8041142981007097,0.018054947061831753
1.3238517279956468,1.7199504652950515,1.134398550273686e-07,1.4031566306365685e-07,1.0922003498295096,1.7551708361783291,0.00750451343617275
1.1802787996859334,2.3620300268779992,1.3338011390981186e-07,8.282468650162432e-08,1.1449143327086968,1.4227956107897712,0.14234913507932942
1.752293696482865,1.8043269335731136,1.508322146555031e-07,3.370971811719678e-08,1.9221988288537346,0.44235165325102327,0.07748883217026793
1.5221331556445983,1.7548033687985767,8.974736967717873e-08,8.329821596018332e-08,0.9935087055820101,1.063069018049753,0.022442285093840893
1.8316093784951617,1.9415815236408127,1.1159328891990459e-07,1.358298059432282e-07,1.4865113786386726,1.9179973933024648,0.1103334229851589
1.4956260650021316,1.9083099288214904,1.7964475206784453e-07,1.2299854673880953e-07,1.9540463536982824,1.7070498034347954,0.08599728079260016
1.8518183265876833,1.8972252267363114,1.1017054068644994e-07,5.249586096881044e-08,1.483751463950851,0.7243379762128673,0.07992662663112288
1.7926576070962712,2.4330791776719147,5.7938439079478614e-08,2.7034858053532977e-08,0.7553729713389906,0.47838509237357785,0.15948359914312324
1.2605877967001173,2.1328321305831994,8.319360510506808e-08,8.932971327813601e-08,0.7627115880649993,1.3856384196028593,0.06940420352885526
1.3801509612075817,2.416835442698814,1.0654248177395257e-07,6.51964667179318e-08,1.0694160627619047,1.145957320019136,0.14223194960340016
1.3784519705960807,1.5730378381607726,1.1363288052732536e-07,1.4129201811935513e-07,1.1391815860901864,1.6164195689588587,0.015496942865715941
1.8624118022846454,1.5765756172855299,1.2222950451515223e-07,6.576000077325056e-08,1.6555757948830827,0.7540044640857049,0.077225712342616
1.758253747410464,1.8420135700669944,3.8674036618410414e-08,1.0005870524620218e-07,0.4945365077222518,1.3404326753951852,0.0594926366723637
1.8151235120425397,1.6815888164243156,2.5533755639065454e-08,1.4738918470696626e-07,0.337068510627029,1.8025309430191436,0.06789813876526381
1.6582636939003583,2.3086961743850027,3.3310193693241996e-08,1.0802370739199695e-07,0.40172425336939555,1.8137739636275512,0.08285325280037166
1.4353248278414823,2.3976171669384776,3.931246199139215e-08,1.034668114287305e-07,0.41037201992596184,1.8041731148357127,0.0846283580237476
1.6387012313742484,2.0542685061219355,3.398500388330832e-08,9.84134239930354e-08,0.4050274015406251,1.4703097999164907,0.06969731977859579
1.5782193381470884,2.2262889210370194,1.3228994789503062e-07,6.511863606999837e-08,1.5184185746211494,1.0543483493503927,0.1643495420106348
1.263744973882199,2.418968319523071,2.0384379064778493e-07,3.753209198435205e-08,1.8735022973689701,0.6602832107314429,0.24802139990786556
1.6045226526380794,1.7028705359392782,1.5117345288794564e-07,3.770536964983141e-08,1.7640816700816309,0.46696264017016,0.05519328828578788
1.89215790435914,2.110861913936177,2.4631039001781714e-08,1.1720089407443645e-07,0.3389513828349057,1.7992356624072439,0.08831033111560975
1.6475665575154896,2.1973223448834847,6.405738347929947e-08,5.4601068736734245e-08,0.7675549293268293,0.8725538064708742,0.079316785451568
1.831533876248646,2.13495798166198,2.468588225954031e-08,5.516801252976974e-08,0.32882203362497125,0.8565919176935275,0.20845246718858676
1.5788345838673352,1.6480065222366185,4.067908394094056e-08,3.345327316725484e-08,0.46709486957090385,0.4009542717803581,0.06954961838199676
1.6044637910012653,1.8205974257275153,8.014975875815474e-08,3.036609631778653e-08,0.935253714799606,0.40206863116767955,0.05229436968901077
1.690415059667546,2.266756787252195,1.390963478019215e-07,8.539791668317209e-08,1.7100404441390753,1.4078276891547474,0.1707802837388345
1.7186308583181449,2.0772264108681284,9.086893917336306e-08,4.909488004014795e-08,1.1357830030980092,0.7416813196930752,0.044896308689863836
1.1427020235518004,1.791821966628326,1.7594055422110696e-07,1.4393040567397105e-07,1.4621645624238848,1.8756193640170733,0.04191235045628356
1.304970980906985,2.169849147012912,1.1727439797210107e-07,8.661405930317059e-08,1.113015899323119,1.3668323105331672,0.08184386968156934
1.1012974743230197,1.6226531170983371,8.351847692235832e-08,1.54126728574828e-07,0.6689359105010809,1.8188670294553744,0.023439217297895422
1.132422122620384,2.0696338626810773,2.2811232238370746e-07,9.357758722188852e-08,1.8786868386154425,1.4085188603811822,0.14208227201990772
1.4875232978745765,1.8859917795230683,1.2581693612373725e-07,8.141076255602039e-08,1.3611318091000477,1.1166547559662463,0.06804766192453428
1.6643295542903478,2.1177745803307215,1.0447556984576085e-07,1.2508622415423867e-07,1.264594753422729,1.9265776426428898,0.07036992542365958
1.7685535409700095,2.1088579408684023,9.451763093931203e-08,9.98037120272409e-08,1.215705388231395,1.5307043682675652,0.09068176586693485
1.7431324327765236,1.795237086536025,1.131003590429753e-07,4.057533741170688e-08,1.4338102109562167,0.5297625492378824,0.0564306853355742
1.4443610591844558,2.4384365186657826,8.136641026063852e-08,3.170163862215978e-08,0.8547089054988568,0.5621995150386909,0.11376601399718843
1.2169166859152807,1.8937285701202367,7.71498696871965e-08,7.447885624003647e-08,0.6827997362802831,1.0257653667755267,0.07803166768769416
1.675108563108882,2.38815976533337,3.999825933719275e-08,9.248352288257974e-08,0.4872831034558645,1.6062940240324726,0.07541566544353638
1.1827842276345504,1.8794342722973403,2.3182006107615644e-07,3.048971810195959e-08,1.994131722837498,0.4167521538436907,0.07665677884070342
1.1183048265828521,1.8336486667708813,2.356910991947378e-07,2.5050586602004124e-08,1.9169054095424949,0.33406527072431536,0.06084939124357183
1.2781692105815339,2.103162391323203,7.502124402629448e-08,2.559361557207629e-08,0.6973806854831521,0.39147294348490713,0.07481130411307456
1.141955763331893,2.0591593434469297,1.511378171785298e-07,1.0022937535158206e-07,1.2552196464321754,1.5010054890404332,0.08845785082799322
1.2053929052765575,1.9998516929409018,1.5075737318559194e-07,4.661863538344681e-08,1.3216135858621298,0.6780389592304052,0.09585626569559928
1.5378741374108236,2.2082383419464096,1.7742609127068714e-07,8.181354514931469e-08,1.9844290695787783,1.3139185984674937,0.17114475698068593
1.7889526375399385,2.333672749478575,1.459163210063071e-07,9.010014186567332e-08,1.8984537259953265,1.5291945148805495,0.17947474964079838
1.2704803307128802,1.7980911276601548,1.7683871588485827e-07,9.064741749761642e-08,1.6339644381108058,1.1853986701655996,0.08431735648254327
1.301046917565279,2.1566703397516584,1.9457620131192644e-07,5.789480301397637e-08,1.8411110323523134,0.9080727598982382,0.2035388769672669
1.5769958911979547,2.081500530881501,4.497813186425161e-08,2.9951837762838183e-08,0.5158569392267971,0.45341648148526736,0.13904391385348616
1.8115414156713823,2.4335368914530013,1.3944838124857587e-07,5.505076116623089e-08,1.8372110398554746,0.9743131505497536,0.24924367098778064
1.330096073386802,2.442172277404497,1.8615576617735214e-07,9.535867127703017e-08,1.8007640264058742,1.6936894792937567,0.15122435477640714
1.3673480009540482,2.1387426112806907,1.584532535292318e-07,8.225677360007146e-08,1.575714468784437,1.2794623037450283,0.14934597351746945
1.5816034666395813,2.256687782879767,1.3941297256126683e-07,4.313312691030718e-08,1.6036075687085705,0.707912731170129,0.14844141444661593
1.4125397753484714,2.2811844216387414,7.246759116967278e-08,1.1190243415949099e-07,0.7444607632789414,1.8565097421678964,0.02562314271018656
1.7711146199600176,2.39545620593791,6.252777475334571e-08,2.7477480497926527e-08,0.8054098619579452,0.4786989176894254,0.1341106917950661
1.1804725043003916,2.0559075397391586,9.545479890885547e-08,5.002569012992679e-08,0.8195037492031048,0.7479868619547002,0.11736236543768405
1.2779243151757167,2.0620976104877666,1.325330916776358e-07,6.787534601627975e-08,1.2317618939655506,1.017931555136006,0.10924653950345511
1.2107520281872313,2.4287948068392846,1.1668783358500134e-07,2.888320834920837e-08,1.0274911358386507,0.5101919014066498,0.1309915580541049
1.1296631513240352,1.6525932983910627,9.79966962232407e-08,1.1408394378892087e-07,0.8051145939992019,1.3711589887970423,0.025925398966900055
1.8767485362649916,1.77206767600592,1.2035003314301874e-07,1.4349709096450259e-07,1.642667262113481,1.8493567745387358,0.1043234854561924
1.4132580600419846,1.7532735939247766,1.1040933866481004e-07,1.4307889756920704e-07,1.1348137292505303,1.8244105669524264,0.01658931226780993
1.1087854945115747,1.9866314769421047,1.969162597734961e-07,9.149368663771395e-08,1.5879119452387314,1.3219217295706165,0.13268682802533868
1.4978715068036066,2.053613201420036,1.2417313448126696e-07,9.772291452361753e-08,1.352693818545325,1.45952776252322,0.07923340840298153
1.3849484690903322,2.0173745469377713,7.595736574224026e-08,1.34460740162366e-07,0.7650693629152734,1.9727830892070581,0.016442996976409396
1.249830453741934,1.6506572260708254,8.32810615575623e-08,1.5527916820519598e-07,0.7569978687607128,1.8640922258630828,0.005950828975638575
1.6270848464678171,1.95592752568345,1.582960944406604e-07,1.2866499547807517e-07,1.8731721928686325,1.8302502272545733,0.09907471144792665
1.4212740047482275,2.0636409631231922,1.7792569725329918e-07,5.6167443565058486e-08,1.8391357693295798,0.842977726071017,0.16106589891265102
1.426029785117553,2.293014594854856,1.4344499128764598e-07,2.2948841776803194e-08,1.4876860371062621,0.3827056663943605,0.06202976077421441
1.1939011492303715,2.3462638781382097,4.0373049276714844e-08,1.0923044683375447e-07,0.35055585403203104,1.8638796494467946,0.0991042056335952
1.317402201868298,2.0983791823991185,1.3148663442162088e-07,6.379891519359079e-08,1.259787503296693,0.9736313854682017,0.11279712742972704
1.1251495388873756,1.6924712607954344,1.644226353205843e-07,8.602192485816459e-08,1.3454549259171094,1.0588337136054395,0.05847678826358931
1.4310696368151385,1.5977029007896486,8.552416493419356e-08,1.0283710536085832e-07,0.8901166229185045,1.1949319385007569,0.016055263389951353
1.1621541879539292,1.5666957526219685,1.3436306898513032e-07,1.1006776226124769e-07,1.1356407514720865,1.2541286955294644,0.01494028515264408
1.3061132037004837,1.8257663469656409,1.7419505529176235e-07,1.3388017640704005e-07,1.6546797217156843,1.777701240798524,0.05775340242816099
1.3601829493282571,1.8557145642830621,1.7301998446653674e-07,1.448950285135729e-07,1.7115551473776232,1.9555186523988857,0.06415419541494925
1.3564745562376368,2.288726571220137,1.1307111550245132e-07,4.495793947750608e-08,1.1154770270871435,0.7483376775961812,0.11018783755933458
1.6454281572451177,1.9625503768356014,6.31646965412967e-08,3.3790179372200817e-08,0.7558761471483119,0.4822903946200384,0.08696697466132854
1.793563531051909,2.378667803428624,3.2768457557998806e-08,8.253303281639508e-08,0.4274349850534469,1.4277721300340147,0.10518521162553096
1.2300619444919594,2.146320080169601,2.0601037218446578e-07,4.755822991292317e-08,1.8429492290526273,0.7423649733776695,0.1921737266839669
1.3783433862214372,2.295129959178273,1.5463753530828036e-07,5.9592779134137595e-08,1.5501354476636524,0.994713983574204,0.20830881922717165
1.7788384634220902,2.420585477831298,8.266936740781721e-08,2.085107614290086e-08,1.069494185394893,0.3670677244266215,0.07148685529706841
1.5075519824377022,2.23968245953784,6.147937575877257e-08,2.8795080823688176e-08,0.6740607622121454,0.46903154503119143,0.12234935556757587
1.3281717148456131,1.511586888676363,1.5697632653924238e-07,4.987704051448032e-08,1.51630194043484,0.548316221728496,0.025200355433518538
1.6789192176736387,1.7345479925869534,1.6269068520546879e-07,9.544686642609795e-08,1.9865055849305735,1.2040521495134784,0.08044375841885713
1.1330710848012158,2.2726788774966464,1.2100617219731435e-07,8.061471110147899e-08,0.997153416721845,1.3324461900787323,0.1544139124833627
1.8609705782703574,2.017269771845478,1.2320075234601107e-07,5.553437750631439e-08,1.6674398206305403,0.814747789394498,0.12073456327370073
1.6716168347541873,1.5993230043612092,1.4959788415520822e-07,5.4986363749126e-08,1.81869339343602,0.6395705925101852,0.05742767619434285
1.3415436277802633,2.458211881336422,5.779251273713758e-08,4.097217251433629e-08,0.5638631068793936,0.732496591119324,0.23798044933857357
1.5641434385569042,2.480693999180283,1.2969993491578608e-07,2.7388275239129463e-08,1.4754131067620677,0.49412312751713733,0.10260742727272332
1.6984937218402705,1.9262154645363294,1.6085245792380355e-07,9.771109009911644e-08,1.9869591994629572,1.368819002222696,0.11250823319911864
